ID;coordinates;layer;type;mongo_dest_id;name;mongo_org_id;source_layer;target_layer
54b954b955474a0e08bd2f60;[[2.3249923, 48.8410654], [2.321873197549548, 48.84013772585965]];crosslayer;edge;5453b63555474a336231ae03;54b954b955474a0e08bd2f60;5453b63455474a336231992e;metro;road
54b954b955474a0e08bd2f61;[[2.3249923, 48.8410654], [2.32978453557158, 48.84190010170988]];crosslayer;edge;5453b63555474a336231a1d7;54b954b955474a0e08bd2f61;5453b63455474a336231992e;metro;road
54b954b955474a0e08bd2f62;[[2.3249923, 48.8410654], [2.3246445225493857, 48.843597974755625]];crosslayer;edge;5453b63455474a3362317803;54b954b955474a0e08bd2f62;5453b63455474a336231992e;metro;road
54b954b955474a0e08bd2f63;[[2.3249923, 48.8410654], [2.3237790686450217, 48.84387638557954]];crosslayer;edge;5453b63455474a336231835d;54b954b955474a0e08bd2f63;5453b63455474a336231992e;metro;road
54b954b955474a0e08bd2f64;[[2.3249923, 48.8410654], [2.3225541684900963, 48.838387816689085]];crosslayer;edge;5453b63555474a336231ab7b;54b954b955474a0e08bd2f64;5453b63455474a336231992e;metro;road
54b954b955474a0e08bd2f65;[[2.3076354, 48.8470802], [2.309518300125593, 48.84550371908762]];crosslayer;edge;5453b63455474a3362319974;54b954b955474a0e08bd2f65;5453b63555474a336231ac99;metro;road
54b954b955474a0e08bd2f66;[[2.3076354, 48.8470802], [2.311114891511708, 48.845000285637504]];crosslayer;edge;5453b63555474a336231a115;54b954b955474a0e08bd2f66;5453b63555474a336231ac99;metro;road
54b954b955474a0e08bd2f67;[[2.3076354, 48.8470802], [2.3037581637176765, 48.849355584735505]];crosslayer;edge;5453b63555474a3362319fbe;54b954b955474a0e08bd2f67;5453b63555474a336231ac99;metro;road
54b954b955474a0e08bd2f68;[[2.3585049, 48.8225268], [2.3552538400056116, 48.82085089925326]];crosslayer;edge;5453b63455474a3362318ead;54b954b955474a0e08bd2f68;5453b63455474a3362318206;metro;road
54b954b955474a0e08bd2f69;[[2.3585049, 48.8225268], [2.3585136106121314, 48.82220400881912]];crosslayer;edge;5453b63455474a336231998c;54b954b955474a0e08bd2f69;5453b63455474a3362318206;metro;road
54b954b955474a0e08bd2f6a;[[2.3585049, 48.8225268], [2.3547081698253955, 48.82098735963492]];crosslayer;edge;5453b63455474a33623182f2;54b954b955474a0e08bd2f6a;5453b63455474a3362318206;metro;road
54b954b955474a0e08bd2f6b;[[2.3585049, 48.8225268], [2.3623834290931884, 48.822971189355485]];crosslayer;edge;5453b63555474a336231ac7c;54b954b955474a0e08bd2f6b;5453b63455474a3362318206;metro;road
